actor_i,actor_j,presence_jaccard,rpa_jaccard,both_eu,both_nato,both_brics
Argentina,Australia,0.8536585365853658,0.2,False,False,False
Argentina,Austria,0.05405405405405406,0.0,False,False,False
Argentina,Belarus,0.40540540540540543,0.12,False,False,False
Argentina,Belgium,0.6410256410256411,0.2,False,False,False
Argentina,Brazil,0.6842105263157895,0.28,False,False,False
Argentina,Bulgaria,0.35135135135135137,0.19047619047619047,False,False,False
Argentina,Canada,0.2702702702702703,0.0,False,False,False
Argentina,Chile,0.8,0.38095238095238093,False,False,False
Argentina,China,0.6052631578947368,0.2692307692307692,False,False,False
Argentina,Colombia,0.24324324324324326,0.1,False,False,False
Argentina,Czechia,0.2972972972972973,0.08333333333333333,False,False,False
Argentina,Denmark,0.05405405405405406,0.058823529411764705,False,False,False
Argentina,Ecuador,0.5945945945945946,0.3181818181818182,False,False,False
Argentina,Estonia,0.10810810810810811,0.1111111111111111,False,False,False
Argentina,Finland,0.4864864864864865,0.11538461538461539,False,False,False
Argentina,France,0.825,0.36,False,False,False
Argentina,Germany,0.7804878048780488,0.16666666666666666,False,False,False
Argentina,Greece,0.05405405405405406,0.0,False,False,False
Argentina,Iceland,0.02702702702702703,0.0,False,False,False
Argentina,India,0.6486486486486487,0.11538461538461539,False,False,False
Argentina,Italy,0.6578947368421053,0.24,False,False,False
Argentina,Japan,0.631578947368421,0.16,False,False,False
Argentina,Kazakhstan,0.02702702702702703,0.0,False,False,False
Argentina,Korea (DPRK),0.05405405405405406,0.058823529411764705,False,False,False
Argentina,Korea (ROK),0.5641025641025641,0.18518518518518517,False,False,False
Argentina,Malaysia,0.10810810810810811,0.0,False,False,False
Argentina,Netherlands,0.6756756756756757,0.2608695652173913,False,False,False
Argentina,New Zealand,0.8181818181818182,0.15625,False,False,False
Argentina,Norway,0.8536585365853658,0.21428571428571427,False,False,False
Argentina,Peru,0.6052631578947368,0.07407407407407407,False,False,False
Argentina,Poland,0.4864864864864865,0.22727272727272727,False,False,False
Argentina,Portugal,0.2972972972972973,0.0,False,False,False
Argentina,Romania,0.40540540540540543,0.19047619047619047,False,False,False
Argentina,Russian Federation,0.6904761904761905,0.20689655172413793,False,False,False
Argentina,Slovakia,0.02702702702702703,0.0,False,False,False
Argentina,South Africa,0.6666666666666666,0.25925925925925924,False,False,False
Argentina,Spain,0.6578947368421053,0.24,False,False,False
Argentina,Sweden,0.4358974358974359,0.15384615384615385,False,False,False
Argentina,Switzerland,0.08108108108108109,0.0,False,False,False
Argentina,Türkiye,0.35135135135135137,0.1,False,False,False
Argentina,Ukraine,0.42105263157894735,0.23809523809523808,False,False,False
Argentina,United Kingdom,0.9024390243902439,0.4074074074074074,False,False,False
Argentina,United States,0.85,0.34615384615384615,False,False,False
Argentina,Uruguay,0.7567567567567568,0.17857142857142858,False,False,False
Argentina,Venezuela,0.13513513513513514,0.0,False,False,False
Australia,Austria,0.05128205128205128,0.047619047619047616,False,False,False
Australia,Belarus,0.38461538461538464,0.23076923076923078,False,False,False
Australia,Belgium,0.65,0.1724137931034483,False,False,False
Australia,Brazil,0.65,0.16129032258064516,False,False,False
Australia,Bulgaria,0.3333333333333333,0.03571428571428571,False,False,False
Australia,Canada,0.2564102564102564,0.13043478260869565,False,False,False
Australia,Chile,0.7619047619047619,0.2222222222222222,False,False,False
Australia,China,0.6153846153846154,0.27586206896551724,False,False,False
Australia,Colombia,0.23076923076923078,0.13043478260869565,False,False,False
Australia,Czechia,0.28205128205128205,0.2,False,False,False
Australia,Denmark,0.05128205128205128,0.047619047619047616,False,False,False
Australia,Ecuador,0.5641025641025641,0.2222222222222222,False,False,False
Australia,Estonia,0.10256410256410256,0.043478260869565216,False,False,False
Australia,Finland,0.46153846153846156,0.1,False,False,False
Australia,France,0.7857142857142857,0.1875,False,False,False
Australia,Germany,0.7857142857142857,0.25806451612903225,False,False,False
Australia,Greece,0.05128205128205128,0.047619047619047616,False,False,False
Australia,Iceland,0.02564102564102564,0.05,False,False,False
Australia,India,0.6153846153846154,0.17857142857142858,False,False,False
Australia,Italy,0.5853658536585366,0.25,False,False,False
Australia,Japan,0.6,0.32,False,False,False
Australia,Kazakhstan,0.02564102564102564,0.0,False,False,False
Australia,Korea (DPRK),0.05128205128205128,0.0,False,False,False
Australia,Korea (ROK),0.575,0.2857142857142857,False,False,False
Australia,Malaysia,0.10256410256410256,0.09090909090909091,False,False,False
Australia,Netherlands,0.6,0.2692307692307692,False,False,False
Australia,New Zealand,0.8636363636363636,0.3225806451612903,False,False,False
Australia,Norway,0.9024390243902439,0.46153846153846156,False,False,False
Australia,Peru,0.6153846153846154,0.13793103448275862,False,False,False
Australia,Poland,0.425,0.24,False,False,False
Australia,Portugal,0.28205128205128205,0.08,False,False,False
Australia,Romania,0.38461538461538464,0.16,False,False,False
Australia,Russian Federation,0.6590909090909091,0.25806451612903225,False,False,False
Australia,Slovakia,0.02564102564102564,0.05,False,False,False
Australia,South Africa,0.6341463414634146,0.3103448275862069,False,False,False
Australia,Spain,0.625,0.25,False,False,False
Australia,Sweden,0.45,0.21428571428571427,False,False,False
Australia,Switzerland,0.07692307692307693,0.0,False,False,False
Australia,Türkiye,0.3333333333333333,0.04,False,False,False
Australia,Ukraine,0.4358974358974359,0.2,False,False,False
Australia,United Kingdom,0.9047619047619048,0.3548387096774194,False,False,False
Australia,United States,0.8095238095238095,0.3448275862068966,False,False,False
Australia,Uruguay,0.717948717948718,0.27586206896551724,False,False,False
Australia,Venezuela,0.1282051282051282,0.08695652173913043,False,False,False
Austria,Belarus,0.0625,0.07692307692307693,False,False,False
Austria,Belgium,0.07407407407407407,0.06666666666666667,True,False,False
Austria,Brazil,0.07407407407407407,0.058823529411764705,False,False,False
Austria,Bulgaria,0.07142857142857142,0.1,True,False,False
Austria,Canada,0.09090909090909091,0.14285714285714285,False,False,False
Austria,Chile,0.05714285714285714,0.0,False,False,False
Austria,China,0.04,0.05555555555555555,False,False,False
Austria,Colombia,0.1,0.0,False,False,False
Austria,Czechia,0.0,0.0,True,False,False
Austria,Denmark,0.3333333333333333,0.3333333333333333,True,False,False
Austria,Ecuador,0.09090909090909091,0.07142857142857142,False,False,False
Austria,Estonia,0.0,0.0,True,False,False
Austria,Finland,0.1111111111111111,0.07142857142857142,True,False,False
Austria,France,0.05555555555555555,0.05263157894736842,True,False,False
Austria,Germany,0.05555555555555555,0.0,True,False,False
Austria,Greece,0.3333333333333333,0.3333333333333333,True,False,False
Austria,Iceland,0.0,0.0,False,False,False
Austria,India,0.08333333333333333,0.07142857142857142,False,False,False
Austria,Italy,0.07692307692307693,0.0625,True,False,False
Austria,Japan,0.08,0.07142857142857142,False,False,False
Austria,Kazakhstan,0.0,0.0,False,False,False
Austria,Korea (DPRK),0.3333333333333333,0.3333333333333333,False,False,False
Austria,Korea (ROK),0.04,0.058823529411764705,False,False,False
Austria,Malaysia,0.0,0.0,False,False,False
Austria,Netherlands,0.038461538461538464,0.07142857142857142,True,False,False
Austria,New Zealand,0.046511627906976744,0.0,False,False,False
Austria,Norway,0.05128205128205128,0.05263157894736842,False,False,False
Austria,Peru,0.08333333333333333,0.07142857142857142,False,False,False
Austria,Poland,0.05263157894736842,0.08333333333333333,True,False,False
Austria,Portugal,0.0,0.0,True,False,False
Austria,Romania,0.0625,0.0,True,False,False
Austria,Russian Federation,0.058823529411764705,0.05,False,False,False
Austria,Slovakia,0.0,0.0,True,False,False
Austria,South Africa,0.07142857142857142,0.05263157894736842,False,False,False
Austria,Spain,0.07692307692307693,0.0625,True,False,False
Austria,Sweden,0.10526315789473684,0.06666666666666667,True,False,False
Austria,Switzerland,0.25,0.25,False,False,False
Austria,Türkiye,0.0,0.0,False,False,False
Austria,Ukraine,0.0,0.0,False,False,False
Austria,United Kingdom,0.04878048780487805,0.0,False,False,False
Austria,United States,0.05405405405405406,0.0,False,False,False
Austria,Uruguay,0.07142857142857142,0.05555555555555555,False,False,False
Austria,Venezuela,0.4,0.4,False,False,False
Belarus,Belgium,0.4482758620689655,0.23809523809523808,False,False,False
Belarus,Brazil,0.5,0.4,False,False,False
Belarus,Bulgaria,0.3333333333333333,0.16666666666666666,False,False,False
Belarus,Canada,0.3157894736842105,0.2857142857142857,False,False,False
Belarus,Chile,0.35135135135135137,0.08695652173913043,False,False,False
Belarus,China,0.3448275862068966,0.16,False,False,False
Belarus,Colombia,0.5,0.2857142857142857,False,False,False
Belarus,Czechia,0.3,0.2222222222222222,False,False,False
Belarus,Denmark,0.0,0.0,False,False,False
Belarus,Ecuador,0.48,0.25,False,False,False
Belarus,Estonia,0.1875,0.06666666666666667,False,False,False
Belarus,Finland,0.43478260869565216,0.3157894736842105,False,False,False
Belarus,France,0.3783783783783784,0.25,False,False,False
Belarus,Germany,0.34210526315789475,0.24,False,False,False
Belarus,Greece,0.0625,0.07692307692307693,False,False,False
Belarus,Iceland,0.06666666666666667,0.08333333333333333,False,False,False
Belarus,India,0.4444444444444444,0.3157894736842105,False,False,False
Belarus,Italy,0.41379310344827586,0.22727272727272727,False,False,False
Belarus,Japan,0.3333333333333333,0.13636363636363635,False,False,False
Belarus,Kazakhstan,0.06666666666666667,0.08333333333333333,False,False,False
Belarus,Korea (DPRK),0.0,0.0,False,False,False
Belarus,Korea (ROK),0.39285714285714285,0.2727272727272727,False,False,False
Belarus,Malaysia,0.26666666666666666,0.14285714285714285,False,False,False
Belarus,Netherlands,0.3793103448275862,0.19047619047619047,False,False,False
Belarus,New Zealand,0.3488372093023256,0.2222222222222222,False,False,False
Belarus,Norway,0.38461538461538464,0.25,False,False,False
Belarus,Peru,0.4444444444444444,0.3157894736842105,False,False,False
Belarus,Poland,0.32,0.15,False,False,False
Belarus,Portugal,0.3,0.1875,False,False,False
Belarus,Romania,0.36363636363636365,0.23529411764705882,False,False,False
Belarus,Russian Federation,0.32432432432432434,0.19230769230769232,False,False,False
Belarus,Slovakia,0.06666666666666667,0.08333333333333333,False,False,False
