mode,pooled_raw_distance_coef_with_controls,pooled_raw_distance_std_err,pooled_standardized_distance_coef_with_controls,pooled_standardized_distance_std_err,member_window_global_median_distance_coef,period_median_of_medians_distance_coef,n_member_window_models,n_panel_rows,n_periods
aggregate,-0.595677179714994,0.13960262593341455,-0.07759768207318772,0.018185756568587192,-0.3344863646344841,-0.3164599797790318,1055,79706,56
instantaneous,-0.48499095921146324,0.20328802018900222,-0.0836581791175385,0.035066026041137004,-0.3113988256552973,-0.31716910049502156,1055,79706,56
cumulative_lagged,-0.2631257050428476,0.14637902892285007,-0.048429477244821106,0.02694172296539449,-0.2900346162056677,-0.30882654875822113,1055,79706,56
