model,n_reps,mean_entry_phi_rank_mean,mean_entry_phi_rank_q05,mean_entry_phi_rank_q25,mean_entry_phi_rank_q75,mean_entry_phi_rank_q95,mean_entry_phi_rank_sd
observed,1,0.6769071481154176,0.6769071481154176,0.6769071481154176,0.6769071481154176,0.6769071481154176,0.0
one_stage,64,0.6942542380660504,0.6872342162713855,0.6903889661928179,0.697782146224826,0.7018089684024749,0.004959952203409305
split_support,64,0.675314419303743,0.6616113064402545,0.6701148684418227,0.6825981966907042,0.6882106602613723,0.008101737513413735
two_stage,64,0.5884091435903929,0.5750363409701631,0.5845208671575539,0.5925064541810838,0.5994210286018871,0.007973193996632122
