actor_i,actor_j,geo_km,log_geo_km,jaccard_presence,jaccard_rpa,geo_thousand_km
Argentina,Australia,12882.861834368054,9.463653167086656,0.8536585365853658,0.2,12.882861834368054
Argentina,Austria,12269.615434793466,9.414881195306169,0.05405405405405406,0.0,12.269615434793467
Argentina,Belarus,13366.186751332549,9.500483420091658,0.40540540540540543,0.12,13.366186751332549
Argentina,Belgium,11847.565951818371,9.379877720554958,0.6410256410256411,0.2,11.847565951818371
Argentina,Brazil,2942.6509672099432,7.9870661435821235,0.6842105263157895,0.28,2.9426509672099432
Argentina,Bulgaria,12648.26199483844,9.445275093004184,0.35135135135135137,0.19047619047619047,12.64826199483844
Argentina,Canada,11310.457484525332,9.333483017852258,0.2702702702702703,0.0,11.310457484525331
Argentina,Chile,1916.8817604660137,7.558455061678607,0.8,0.38095238095238093,1.9168817604660138
Argentina,China,18493.80463343022,9.825191070300573,0.6052631578947368,0.2692307692307692,18.49380463343022
Argentina,Colombia,4664.018185147379,8.447632627068048,0.24324324324324326,0.1,4.664018185147379
Argentina,Czechia,12417.05589664171,9.426826282028818,0.2972972972972973,0.08333333333333333,12.41705589664171
Argentina,Denmark,12480.791217352642,9.431946038740133,0.05405405405405406,0.058823529411764705,12.480791217352643
Argentina,Ecuador,4204.236566183185,8.343848002103275,0.5945945945945946,0.3181818181818182,4.204236566183185
Argentina,Estonia,13442.15738207543,9.506151120694923,0.10810810810810811,0.1111111111111111,13.442157382075429
Argentina,Finland,13772.177233277702,9.530405693477968,0.4864864864864865,0.11538461538461539,13.772177233277702
Argentina,France,11434.50501870692,9.344390819005511,0.825,0.36,11.434505018706918
Argentina,Germany,12221.86225080426,9.410981614797684,0.7804878048780488,0.16666666666666666,12.22186225080426
Argentina,Greece,12198.560804190462,9.409073256893077,0.05405405405405406,0.0,12.198560804190462
Argentina,Iceland,12035.628805631117,9.39562659693132,0.02702702702702703,0.0,12.035628805631116
Argentina,India,16104.828352993449,9.686874403713684,0.6486486486486487,0.11538461538461539,16.104828352993447
Argentina,Italy,11779.111798986369,9.374083055295554,0.6578947368421053,0.24,11.779111798986369
Argentina,Japan,18015.201184725385,9.798971190742671,0.631578947368421,0.16,18.015201184725385
Argentina,Kazakhstan,15861.895088083951,9.671674976580537,0.02702702702702703,0.0,15.861895088083951
Argentina,Korea (DPRK),19011.65940933401,9.852807723063336,0.05405405405405406,0.058823529411764705,19.01165940933401
Argentina,Korea (ROK),18941.75093511859,9.84912380888314,0.5641025641025641,0.18518518518518517,18.94175093511859
Argentina,Malaysia,16041.282701149365,9.68292084712275,0.10810810810810811,0.0,16.041282701149363
Argentina,Netherlands,11985.22186831484,9.39142965886358,0.6756756756756757,0.2608695652173913,11.98522186831484
Argentina,New Zealand,9571.494393869323,9.166544626265566,0.8181818181818182,0.15625,9.571494393869322
Argentina,Norway,14012.54812386956,9.547708501727383,0.8536585365853658,0.21428571428571427,14.012548123869559
Argentina,Peru,3330.7351535061503,8.110948325427746,0.6052631578947368,0.07407407407407407,3.3307351535061502
Argentina,Poland,12751.891944084677,9.453434927349544,0.4864864864864865,0.22727272727272727,12.751891944084676
Argentina,Portugal,10256.071359086109,9.235625136925451,0.2972972972972973,0.0,10.256071359086109
Argentina,Romania,12762.710219931318,9.4542829340263,0.40540540540540543,0.19047619047619047,12.762710219931318
Argentina,Russian Federation,16873.812903468584,9.73351816680518,0.6904761904761905,0.20689655172413793,16.873812903468583
Argentina,Slovakia,12609.595228093613,9.442213329164916,0.02702702702702703,0.0,12.609595228093612
Argentina,South Africa,8165.552997712095,9.007679730938708,0.6666666666666666,0.25925925925925924,8.165552997712094
Argentina,Spain,10570.251401190037,9.2657988629892,0.6578947368421053,0.24,10.570251401190037
Argentina,Sweden,13082.688223479456,9.479045125567245,0.4358974358974359,0.15384615384615385,13.082688223479456
Argentina,Switzerland,11790.05427065426,9.37501159662975,0.08108108108108109,0.0,11.79005427065426
Argentina,Türkiye,13203.29777025808,9.488221908452031,0.35135135135135137,0.1,13.203297770258079
Argentina,Ukraine,13355.260924045342,9.49966566290808,0.42105263157894735,0.23809523809523808,13.355260924045343
Argentina,United Kingdom,11781.221223834546,9.374262121088195,0.9024390243902439,0.4074074074074074,11.781221223834546
Argentina,United States,9038.44599679464,9.109242535599764,0.85,0.34615384615384615,9.038445996794641
Argentina,Uruguay,926.690912146877,6.831620081861574,0.7567567567567568,0.17857142857142858,0.926690912146877
Argentina,Venezuela,4863.558499473232,8.489525650503472,0.13513513513513514,0.0,4.863558499473232
Australia,Austria,14093.864839765723,9.553494863927952,0.05128205128205128,0.047619047619047616,14.093864839765724
Australia,Belarus,13197.91507410633,9.487814147167878,0.38461538461538464,0.23076923076923078,13.19791507410633
Australia,Belgium,14787.67690390862,9.601549471285828,0.65,0.1724137931034483,14.78767690390862
Australia,Brazil,15677.51987188181,9.659983109957867,0.65,0.16129032258064516,15.67751987188181
Australia,Bulgaria,13271.443960843397,9.493369935335869,0.3333333333333333,0.03571428571428571,13.271443960843397
Australia,Canada,13910.223596876906,9.540379359330128,0.2564102564102564,0.13043478260869565,13.910223596876905
Australia,Chile,10974.828915924094,9.303359649295592,0.7619047619047619,0.2222222222222222,10.974828915924094
Australia,China,7738.175060802456,8.953921158525157,0.6153846153846154,0.27586206896551724,7.7381750608024555
Australia,Colombia,16430.861401936258,9.706916638259312,0.23076923076923078,0.13043478260869565,16.43086140193626
Australia,Czechia,14040.36380711898,9.549691589432047,0.28205128205128205,0.2,14.04036380711898
Australia,Denmark,14333.783087278169,9.570374483697504,0.05128205128205128,0.047619047619047616,14.333783087278169
Australia,Ecuador,15525.38489240408,9.650231698275627,0.5641025641025641,0.2222222222222222,15.52538489240408
Australia,Estonia,13348.986070760498,9.4991957111883,0.10256410256410256,0.043478260869565216,13.348986070760498
Australia,Finland,13229.295410694764,9.490188998751629,0.46153846153846156,0.1,13.229295410694764
Australia,France,15066.65247824367,9.62023913544228,0.7857142857142857,0.1875,15.06665247824367
Australia,Germany,14378.53524470716,9.573491765496296,0.7857142857142857,0.25806451612903225,14.37853524470716
Australia,Greece,13492.90504797944,9.50991927427414,0.05128205128205128,0.047619047619047616,13.492905047979441
Australia,Iceland,15109.831670203142,9.623100914913742,0.02564102564102564,0.05,15.109831670203143
Australia,India,7797.82605225649,8.961600262581317,0.6153846153846154,0.17857142857142858,7.7978260522564895
Australia,Italy,14289.776165850511,9.56729960710988,0.5853658536585366,0.25,14.289776165850512
Australia,Japan,6798.404348734906,8.824443209030692,0.6,0.32,6.798404348734906
Australia,Kazakhstan,10473.919217166382,9.256643562108373,0.02564102564102564,0.0,10.473919217166381
Australia,Korea (DPRK),7276.470682672532,8.892401227302804,0.05128205128205128,0.0,7.2764706826725325
Australia,Korea (ROK),6809.629919470502,8.826093053976798,0.575,0.2857142857142857,6.809629919470502
Australia,Malaysia,4622.395353762145,8.438668324554436,0.10256410256410256,0.09090909090909091,4.622395353762145
Australia,Netherlands,14704.784150891155,9.595928172260244,0.6,0.2692307692307692,14.704784150891156
Australia,New Zealand,4334.928075604667,8.374460297520985,0.8636363636363636,0.3225806451612903,4.334928075604667
Australia,Norway,13115.936965101586,9.481583331998552,0.9024390243902439,0.46153846153846156,13.115936965101586
Australia,Peru,15095.375684359193,9.622143729831183,0.6153846153846154,0.13793103448275862,15.095375684359192
Australia,Poland,13780.551232056074,9.531013546093853,0.425,0.24,13.780551232056073
Australia,Portugal,16073.484509619297,9.684926268432566,0.28205128205128205,0.08,16.0734845096193
Australia,Romania,13386.835210348503,9.502027056032722,0.38461538461538464,0.16,13.386835210348503
