stage,stage_order,term,estimate,se,lower95,upper95
allocation,1,Persistence (rho),4.289362760535891,0.21447641339119505,3.8689889902891483,4.709736530782633
allocation,2,Local fit (beta),3.9704467045070997,0.5358388233431801,2.9202026107544667,5.020690798259732
allocation,3,Popularity (gamma),1.0034510265176122,0.10454358274065254,0.7985456043459332,1.2083564486892913
entry,1,Entry intercept (delta),-0.20677224701191207,0.045358601221816314,-0.2956751054066721,-0.1178693886171521
entry,2,Local fit (beta_ent),0.5812391010808653,0.19823482365072775,0.1926988467254389,0.9697793554362917
entry,3,Popularity (gamma_ent),1.0366897976844778,0.18325845327263468,0.6775032292701137,1.3958763660988418
retention,1,Retention intercept (delta),-0.13875803859697433,0.09073614954186102,-0.31660089169902195,0.039084814505073256
retention,2,Prior share (lambda_ret),0.42092241589125734,0.16094974754363417,0.10546091070573438,0.7363839210767803
retention,3,Popularity (gamma_ret),0.15654064661958558,0.4101456013812299,-0.647344732087625,0.9604260253267961
