mode,n_rows,n_groups,distance_coef,distance_std_err,distance_ci_low_95,distance_ci_high_95,distance_odds_ratio_per_unit,distance_odds_ratio_per_0_1,distance_odds_ratio_per_0_1_ci_low_95,distance_odds_ratio_per_0_1_ci_high_95,topic_popularity_coef,topic_popularity_std_err,log_likelihood
aggregate,40129,1055,-4.399154427198668,0.2538278003304515,-4.896656915846353,-3.901651938550983,0.01228772567810882,0.6440908813536885,0.6128312345814929,0.6769450381005427,7.588710283173929,0.2998344976546844,-5376.540308087038
instantaneous,40129,1055,-2.9783721856517276,0.18859835269094274,-3.3480249569259755,-2.6087194143774797,0.050875582500088896,0.7424221824601409,0.7154793826587188,0.7703795669983614,5.998614993339071,0.37234217396002384,-5410.514414571513
cumulative_lagged,40129,1055,-2.929670864950992,0.1754833407585203,-3.273618212837692,-2.585723517064292,0.053414615874528615,0.7460466953046923,0.7208228867755176,0.7721531624291877,7.669448944724743,0.3034717355596666,-5388.840917693717
