regime_pair,n_pairs,distinct_share_mean,distinct_share_resid_mean,pairwise_overlap_mean,pairwise_overlap_resid_mean,union_topics_mean,distinct_perm_p_two_sided,overlap_perm_p_two_sided
1-3,15,0.9221511033250164,0.0960416262555257,0.08726068584089573,-0.13162876224549866,23.933333333333334,0.0004997501249375312,0.0004997501249375312
2-3,15,0.8163387497077709,-0.011078013024850756,0.22700854453495875,0.009844741000161885,26.4,0.5627186406796602,0.7141429285357321
1-2,25,0.8138804093470132,-0.013560976954677333,0.23337574327976804,0.016287552281943035,15.92,0.3023488255872064,0.3918040979510245
1-1,10,0.8123476523476523,-0.015234077914964861,0.23578282828282832,0.018915452738921538,10.7,0.55872063968016,0.6151924037981009
2-2,10,0.7728764970384161,-0.054883331659936994,0.3017726133515607,0.08524899862646607,20.0,0.025487256371814093,0.013993003498250875
3-3,3,0.7501501501501502,-0.07812127612683846,0.3419540229885058,0.1262670814306756,29.0,0.07596201899050475,0.03698150924537731
