k,topic_order,topic,x_plot,region,region_anchor,region_anchor_x
3,32,CEP Strategy Discussions,0.5652259283677754,3,Operation of the CEP,0.7077185661800908
3,33,Search and Rescue,0.5782303524397047,3,Operation of the CEP,0.7077185661800908
3,34,Site Guidelines for Visitors,0.5815045003879167,3,Operation of the CEP,0.7077185661800908
3,35,Marine living resources,0.6072600948648526,3,Operation of the CEP,0.7077185661800908
3,36,Specially Protected Species,0.6187624363507289,3,Operation of the CEP,0.7077185661800908
3,37,Tourism and NG_Activities,0.6351007320692914,3,Operation of the CEP,0.7077185661800908
3,38,Drilling,0.706743800577266,3,Operation of the CEP,0.7077185661800908
3,39,Operation of the CEP,0.7077185661800908,3,Operation of the CEP,0.7077185661800908
3,40,Multiyear strategic workplan,0.7604580634912677,3,Operation of the CEP,0.7077185661800908
3,41,Marine Acoustics,0.7856949393318449,3,Operation of the CEP,0.7077185661800908
3,42,Sub glacial Lakes,0.8368881874706654,3,Operation of the CEP,0.7077185661800908
3,43,State of the Antarctic Environment Report SAER,0.913455015343537,3,Operation of the CEP,0.7077185661800908
3,44,Environmental Domains Analysis,1.0,3,Operation of the CEP,0.7077185661800908
4,0,Educational issues,0.0,1,Exchange of Information,0.1115886883252106
4,1,Science issues,0.0570158275246239,1,Exchange of Information,0.1115886883252106
4,2,Opening statements,0.072789875025554,1,Exchange of Information,0.1115886883252106
4,3,Exchange of Information,0.1115886883252106,1,Exchange of Information,0.1115886883252106
4,4,Operation of the Antarctic Treaty system The Secretariat,0.1239191250643634,1,Exchange of Information,0.1115886883252106
4,5,Operation of the Antarctic Treaty system General,0.1747690528081454,1,Exchange of Information,0.1115886883252106
4,6,Environmental Monitoring and Reporting,0.1887137517787509,1,Exchange of Information,0.1115886883252106
4,7,Operation of the Antarctic Treaty system Reports,0.1982528580975261,1,Exchange of Information,0.1115886883252106
4,8,Operational issues,0.2203005980925824,1,Exchange of Information,0.1115886883252106
4,9,Safety and Operations in Antarctica,0.2599556617261369,2,Management Plans,0.3369819084088453
4,10,Environmental Impact Assessment EIA Other EIA Matters,0.2605546487018962,2,Management Plans,0.3369819084088453
4,11,Environmental Protection General,0.2620042318963083,2,Management Plans,0.3369819084088453
4,12,Biological Prospecting,0.2728040707719594,2,Management Plans,0.3369819084088453
4,13,Comprehensive Environmental Evaluations,0.2840982040334893,2,Management Plans,0.3369819084088453
4,14,International Polar Year,0.3052279433304539,2,Management Plans,0.3369819084088453
4,15,Fauna and Flora_General,0.3076348840643275,2,Management Plans,0.3369819084088453
4,16,Cooperation with Other Organisations,0.311759645788881,2,Management Plans,0.3369819084088453
4,17,Management Plans,0.3369819084088453,2,Management Plans,0.3369819084088453
4,18,Inspections,0.347895543377593,2,Management Plans,0.3369819084088453
4,19,Liability,0.3591321581558954,2,Management Plans,0.3369819084088453
4,20,Nonnative Species and Quarantine,0.3687894715933,2,Management Plans,0.3369819084088453
4,21,Waste management and disposal,0.377663422851123,2,Management Plans,0.3369819084088453
4,22,Climate Change,0.3800837228694225,2,Management Plans,0.3369819084088453
4,23,Prevention of marine pollution,0.4071732495247113,2,Management Plans,0.3369819084088453
4,24,Institutional and legal matters,0.4326060447198917,2,Management Plans,0.3369819084088453
4,25,Marine Protected Areas,0.449159334827253,2,Management Plans,0.3369819084088453
4,26,Emergency report and contingency planning,0.4714397070089904,3,Search and Rescue,0.5782303524397047
