time_unit,window_size,period_index,period_end,period_start,member,k_active,dominant_region,dominant_region_share,region_1_share,region_2_share,region_3_share
meeting,1,15,16,16,ASOC,5,3,0.721192613036666,0.05356007316161769,0.22524731380171625,0.721192613036666
meeting,1,16,17,17,ASOC,5,2,0.8640567111059249,0.10677090930307186,0.8640567111059249,0.029172379591003255
meeting,1,17,18,18,ASOC,4,2,0.5830871350189925,0.41691286498100755,0.5830871350189925,0.0
meeting,1,18,19,19,ASOC,4,2,0.7960312096823738,0.20396879031762613,0.7960312096823738,0.0
meeting,1,19,20,20,ASOC,3,2,0.724007561436673,0.27599243856332706,0.724007561436673,0.0
meeting,1,20,21,21,ASOC,3,2,0.8677122400272758,0.13228775997272418,0.8677122400272758,0.0
meeting,1,22,23,23,ASOC,7,3,0.43212439944832615,0.301298858762371,0.26657674178930296,0.43212439944832615
meeting,1,24,25,25,ASOC,8,2,0.8696490344525813,0.019533862272235667,0.8696490344525813,0.11081710327518307
meeting,1,25,26,26,ASOC,5,2,0.7328588067814158,0.03900608256762003,0.7328588067814158,0.22813511065096415
meeting,1,26,27,27,ASOC,5,3,0.4475254042045501,0.1909326531451845,0.36154194265026535,0.4475254042045501
meeting,1,27,28,28,ASOC,5,2,0.9486744537856806,0.0,0.9486744537856806,0.05132554621431937
meeting,1,28,29,29,ASOC,9,2,0.5839333712648865,0.08219702171908415,0.5839333712648865,0.33386960701602936
meeting,1,29,30,30,ASOC,10,3,0.6845762133917785,0.028887725016143714,0.2865360615920778,0.6845762133917785
meeting,1,30,31,31,ASOC,6,2,0.9157609784549353,0.08423902154506477,0.9157609784549353,0.0
meeting,1,31,32,32,ASOC,6,2,0.8847305389221556,0.052814371257485025,0.8847305389221556,0.06245508982035927
meeting,1,32,33,33,ASOC,7,2,0.6451248396315128,0.26502410837064505,0.6451248396315128,0.0898510519978422
meeting,1,33,34,34,ASOC,9,2,0.5368649101963799,0.07495282689216577,0.5368649101963799,0.3881822629114544
meeting,1,34,35,35,ASOC,9,2,0.5170902071118024,0.18820548102364845,0.5170902071118024,0.29470431186454904
meeting,1,35,36,36,ASOC,7,2,0.5341488649781995,0.34803224060315235,0.5341488649781995,0.11781889441864822
meeting,1,36,37,37,ASOC,5,3,0.5716280410994248,0.08863391461397199,0.33973804428660315,0.5716280410994248
meeting,1,37,38,38,ASOC,5,2,0.8828900357284637,0.11710996427153632,0.8828900357284637,0.0
meeting,1,38,39,39,ASOC,6,2,0.8986864606158986,0.10131353938410141,0.8986864606158986,0.0
meeting,1,39,40,40,ASOC,6,1,0.48831597745308863,0.48831597745308863,0.4030616005513881,0.10862242199552319
