country,archetype_weight_1,archetype_weight_2,archetype_weight_3
ACAP,0.8231413122193415,0.17685868778065852,0.0
ASOC,0.01091182957155862,0.42305325042614444,0.5660349200022969
ATS,0.6090415669727558,0.20207317700097915,0.18888525602626496
Argentina,0.05521946961144897,0.4531890941806188,0.4915914362079322
Australia,0.09331904090967436,0.30997433724589707,0.5967066218444286
Austria,0.991187101996192,0.006193814922714563,0.002619083081093529
Belarus,0.36440065537323874,0.4649988453893067,0.17060049923745457
Belgium,0.30361395438958955,0.4486537707473995,0.24773227486301103
Brazil,0.20494261905211303,0.4547351786189952,0.3403222023288917
Bulgaria,0.4036604390733653,0.47805561848734096,0.11828394243929373
CCAMLR,0.4127392791839459,0.5606236837193712,0.026637037096682876
COMNAP,0.08028208022280497,0.5472664089198,0.37245151085739503
Canada,0.5159475360305261,0.4380440856181382,0.046008378351335706
Chile,0.0728113290308425,0.36621396049984506,0.5609747104693125
China,0.23728309678333065,0.48033220808611493,0.28238469513055436
Colombia,0.386602483567476,0.42854365067541045,0.18485386575711363
Czechia,0.37810253540108407,0.5143980154157234,0.10749944918319257
Denmark,0.992181714545531,0.004594798585430933,0.0032234868690381893
Ecuador,0.3240875520265101,0.4610909775329941,0.21482147044049582
Estonia,0.8075355222986406,0.1596684494968442,0.03279602820451528
Finland,0.268652589976026,0.5872251012649928,0.14412230875898122
France,0.15273193260938653,0.48725169390404793,0.36001637348656557
Germany,0.12260635142323392,0.4018498946596327,0.4755437539171334
Greece,0.9061227167796867,0.07658683976966997,0.01729044345064338
IAATO,0.1559225820352117,0.5378172875606416,0.30626013040414657
ICAO,0.9776065021682381,0.02186257157387267,0.0005309262578894192
IGP&I Clubs,0.9835857265741866,0.003927093534483228,0.012487179891329914
IHO,0.6158119752489759,0.373111617124954,0.011076407626070081
IMO,0.8881896288160039,0.11142692444218708,0.000383446741809025
IOC,0.7039533177230421,0.2949059823733412,0.0011406999036167377
IOPC Funds,0.9835857265741866,0.003927093534483228,0.012487179891329914
IPCC,0.9744583419929864,0.0255416580070138,0.0
IPY-IPO,0.9814767166213689,0.018523283378631183,0.0
IUCN,0.33516731201661326,0.5588876217665704,0.10594506621681637
Iceland,0.9914425257784899,0.0,0.008557474221510125
India,0.3987148367505112,0.3771567133684799,0.22412844988100883
Italy,0.18687761478638945,0.40239037706233505,0.4107320081512755
Japan,0.2723035199625662,0.503843170345302,0.22385330969213182
Kazakhstan,1.0,0.0,0.0
Korea (DPRK),0.716996922805689,0.26257521573337383,0.02042786146093726
Korea (ROK),0.3550431260548482,0.3724795616066548,0.2724773123384969
Malaysia,0.7173453698698812,0.2661980647010097,0.016456565429108994
Monaco,0.4612096575232615,0.5118804193148236,0.026909923161914807
Netherlands,0.22304932170346678,0.46176513310590406,0.31518554519062913
New Zealand,0.08703839849621213,0.35209177605423697,0.5608698254495509
Norway,0.19560277260521683,0.4033519680924639,0.4010452593023193
Peru,0.2890676467657623,0.4504406783646094,0.2604916748696284
Poland,0.5208621189783472,0.33127507614510426,0.14786280487654846
Portugal,0.4581257822348006,0.3636159565998826,0.1782582611653167
Romania,0.3232512371086822,0.43382388721856424,0.2429248756727536
Russian Federation,0.18046260121462174,0.4115601301720896,0.4079772686132887
SCAR,0.2993414660494716,0.37322791251565807,0.32743062143487045
Slovakia,0.9914425257784899,0.0,0.008557474221510125
South Africa,0.30516751439724205,0.5258429499665468,0.16898953563621114
Spain,0.22743794890992455,0.4279265637202037,0.3446354873698717
Sweden,0.3501858435121152,0.5042817788728411,0.14553237761504367
Switzerland,0.8527808081751034,0.1435898521869365,0.0036293396379601414
Türkiye,0.568276043544244,0.13403420944107114,0.297689747014685
UNEP,0.4985955607342523,0.4614485497924119,0.0399558894733358
Ukraine,0.2322405415872228,0.5856737141950277,0.18208574421774953
United Kingdom,0.06785623746260229,0.2211986938003198,0.7109450687370779
United States,0.10214460791327436,0.3228334841647043,0.5750219079220213
Uruguay,0.20660045222734658,0.4852192280470845,0.3081803197255689
Venezuela,0.533206371583512,0.4609096562966486,0.005883972119839341
WMO,0.4789581315299268,0.4473888860260476,0.07365298244402566
WTO,0.9841328756914682,0.01586712430853185,0.0
