country,pioneer_score,topics_adopted,first_activity,abs_pioneer_score,intensity,pioneer_index,abs_pioneer_index,gdp_per_capita,residual,strategic_group,color,region_1_share,region_2_share,region_3_share,dominant_regime,dominant_regime_label,max_regime_share
Iceland,0.0,1,2017.0,49.0,24.073508804525435,-0.0,-49.0,,,On-trend,gray7,1.0,0.0,0.0,1,Mode 1,1.0
India,12.826086956521738,23,1981.0,15.478260869565217,4.4933660203081365,-12.826086956521738,-15.478260869565217,,,On-trend,gray7,0.19620588632536737,0.7699816871043538,0.03381242657027883,2,Mode 2,0.7699816871043538
Italy,4.208333333333333,24,1987.0,7.708333333333333,3.6367779147783033,-4.208333333333333,-7.708333333333333,,,On-trend,gray7,0.33140290324715377,0.4197592787657868,0.2488378179870594,2,Mode 2,0.4197592787657868
Japan,3.0454545454545454,22,1961.0,3.0454545454545454,4.384259860472622,-3.0454545454545454,-3.0454545454545454,,,On-trend,gray7,0.36951228759232085,0.3873823878702322,0.24310532453744696,2,Mode 2,0.3873823878702322
Kazakhstan,0.0,1,2017.0,18.0,9.176469457491573,-0.0,-18.0,,,On-trend,gray7,1.0,0.0,0.0,1,Mode 1,1.0
Korea (DPRK),0.5,2,1991.0,15.0,6.949350476495043,-0.5,-15.0,,,On-trend,gray7,1.0,0.0,0.0,1,Mode 1,1.0
Korea (ROK),8.9,20,1981.0,11.5,4.422863972828283,-8.9,-11.5,,,On-trend,gray7,0.1375963037130487,0.24836539495867177,0.6140383013282795,3,Mode 3,0.6140383013282795
Malaysia,3.25,4,2013.0,27.0,7.274205584961352,-3.25,-27.0,,,On-trend,gray7,1.0,0.0,0.0,1,Mode 1,1.0
Monaco,22.5,4,,22.5,12.924679907690017,-22.5,-22.5,,,On-trend,gray7,0.035844833301719545,0.43572071532717976,0.5284344513711007,3,Mode 3,0.5284344513711007
Netherlands,7.875,24,1985.0,11.333333333333334,4.118534754653957,-7.875,-11.333333333333334,,,On-trend,gray7,0.11729217590931908,0.6796819817468703,0.20302584234381055,2,Mode 2,0.6796819817468703
New Zealand,-0.9444444444444444,36,1961.0,-0.9444444444444444,3.3045527993546098,0.9444444444444444,0.9444444444444444,,,On-trend,gray7,0.0027702119702876205,0.21895271064212968,0.7782770773875828,3,Mode 3,0.7782770773875828
Norway,-0.3235294117647059,34,1961.0,-0.3235294117647059,3.5089640439157215,0.3235294117647059,0.3235294117647059,,,On-trend,gray7,0.025219160493488633,0.2636748416412214,0.71110599786529,3,Mode 3,0.71110599786529
Peru,5.2272727272727275,22,1985.0,8.681818181818182,3.3776295782595285,-5.2272727272727275,-8.681818181818182,,,On-trend,gray7,0.6698503933640245,0.3301496066359754,0.0,1,Mode 1,0.6698503933640245
Poland,6.1875,16,1977.0,7.875,4.419322877402027,-6.1875,-7.875,,,On-trend,gray7,0.15334111469729855,0.7761555604480171,0.0705033248546844,2,Mode 2,0.7761555604480171
Portugal,2.625,8,2015.0,19.25,4.522961463938535,-2.625,-19.25,,,On-trend,gray7,0.7646677864226951,0.0542550846332959,0.18107712894400912,1,Mode 1,0.7646677864226951
Romania,4.142857142857143,14,2002.0,17.285714285714285,5.778704804231498,-4.142857142857143,-17.285714285714285,,,On-trend,gray7,0.3540834744579186,0.6459165255420815,0.0,2,Mode 2,0.6459165255420815
Russian Federation,0.6666666666666666,30,1961.0,0.6666666666666666,3.5611532063085676,-0.6666666666666666,-0.6666666666666666,,,On-trend,gray7,0.06647269791228337,0.17809290418381105,0.7554343979039055,3,Mode 3,0.7554343979039055
SCAR,0.2916666666666667,24,1972.0,0.7083333333333334,5.168547559124644,-0.2916666666666667,-0.7083333333333334,,,On-trend,gray7,0.05586050251177737,0.2695980294454129,0.6745414680428097,3,Mode 3,0.6745414680428097
Slovakia,0.0,1,1996.0,28.0,17.110067476383268,-0.0,-28.0,,,On-trend,gray7,1.0,0.0,0.0,1,Mode 1,1.0
South Africa,6.346153846153846,26,1961.0,6.346153846153846,8.645678226718273,-6.346153846153846,-6.346153846153846,,,On-trend,gray7,0.3345173533163688,0.50060154537158,0.16488110131205128,2,Mode 2,0.50060154537158
