actor_i,actor_j,overlap_jaccard_rpa,exclusive_phi_proximity,complementarity_score,k_i,k_j,same_regime,regime_pair,pair_type,pair_label
Australia,Netherlands,0.2692307692307692,0.3481366755892813,0.07890590635851208,20,13,0,2-3,Separate / weak,Australia - Netherlands
Australia,New Zealand,0.3225806451612903,0.35668456543456545,0.034103920273275135,20,21,1,3-3,Separate / weak,Australia - New Zealand
Australia,Norway,0.46153846153846156,0.37566268301087014,-0.08587577852759143,20,18,1,3-3,Separate / weak,Australia - Norway
Australia,Peru,0.13793103448275862,0.3612479158529705,0.22331688137021188,20,13,0,1-3,Separate / weak,Australia - Peru
Australia,Poland,0.24,0.42777725148414797,0.18777725148414798,20,11,0,2-3,Aligned,Australia - Poland
Australia,Portugal,0.08,0.377750259000259,0.297750259000259,20,7,0,1-3,Separate / weak,Australia - Portugal
Australia,Romania,0.16,0.37987653793574844,0.21987653793574843,20,9,0,2-3,Separate / weak,Australia - Romania
Australia,Russian Federation,0.25806451612903225,0.3571670850730648,0.09910256894403258,20,19,1,3-3,Separate / weak,Australia - Russian Federation
Australia,South Africa,0.3103448275862069,0.35177578610374594,0.04143095851753903,20,18,0,2-3,Separate / weak,Australia - South Africa
Australia,Spain,0.25,0.3906675674422446,0.14066756744224462,20,15,0,2-3,Aligned,Australia - Spain
Australia,Sweden,0.21428571428571427,0.3746274610036926,0.16034174671797832,20,14,0,2-3,Separate / weak,Australia - Sweden
Australia,Türkiye,0.04,0.39947709677211063,0.35947709677211065,20,6,0,1-3,Complementary,Australia - Türkiye
Australia,Ukraine,0.2,0.3587412587412588,0.15874125874125877,20,10,1,3-3,Separate / weak,Australia - Ukraine
Australia,United Kingdom,0.3548387096774194,0.33774743254056505,-0.01709127713685432,20,22,1,3-3,Separate / weak,Australia - United Kingdom
Australia,United States,0.3448275862068966,0.3526991341991342,0.007871547992237604,20,19,1,3-3,Separate / weak,Australia - United States
Australia,Uruguay,0.27586206896551724,0.37156660137603875,0.09570453241052151,20,17,0,2-3,Separate / weak,Australia - Uruguay
Australia,Venezuela,0.08695652173913043,0.3698423224285293,0.2828858006893989,20,5,0,1-3,Separate / weak,Australia - Venezuela
Belarus,Belgium,0.23809523809523808,0.39609194327887615,0.15799670518363806,12,14,1,2-2,Aligned,Belarus - Belgium
Belarus,Brazil,0.4,0.4265684259970217,0.026568425997021694,12,16,1,2-2,Aligned,Belarus - Brazil
Belarus,Bulgaria,0.16666666666666666,0.432718810235291,0.2660521435686244,12,9,0,1-2,Complementary,Belarus - Bulgaria
Belarus,Canada,0.2857142857142857,0.31742610837438423,0.03171182266009853,12,6,0,1-2,Separate / weak,Belarus - Canada
Belarus,Chile,0.08695652173913043,0.4332175039872408,0.34626098224811036,12,13,1,2-2,Complementary,Belarus - Chile
Belarus,China,0.16,0.434047666524457,0.274047666524457,12,17,1,2-2,Complementary,Belarus - China
Belarus,Colombia,0.2857142857142857,0.3286199095022625,0.0429056237879768,12,6,0,1-2,Separate / weak,Belarus - Colombia
Belarus,Czechia,0.2222222222222222,0.42096748737373735,0.19874526515151514,12,10,1,2-2,Aligned,Belarus - Czechia
Belarus,Ecuador,0.25,0.4286900640561264,0.17869006405612642,12,13,1,2-2,Aligned,Belarus - Ecuador
Belarus,Finland,0.3157894736842105,0.37636146181404806,0.06057198812983755,12,13,1,2-2,Separate / weak,Belarus - Finland
Belarus,France,0.25,0.39350585641420494,0.14350585641420494,12,18,0,2-3,Aligned,Belarus - France
Belarus,Germany,0.24,0.33664354353804227,0.09664354353804228,12,19,1,2-2,Separate / weak,Belarus - Germany
Belarus,India,0.3157894736842105,0.4464937942462573,0.13070432056204678,12,13,1,2-2,Aligned,Belarus - India
Belarus,Italy,0.22727272727272727,0.4059283073248591,0.1786555800521318,12,15,1,2-2,Aligned,Belarus - Italy
Belarus,Japan,0.13636363636363635,0.41904079945138983,0.2826771630877535,12,13,1,2-2,Complementary,Belarus - Japan
Belarus,Korea (ROK),0.2727272727272727,0.3683030320153732,0.09557575928810047,12,16,0,2-3,Separate / weak,Belarus - Korea (ROK)
Belarus,Netherlands,0.19047619047619047,0.3818560719105851,0.19137988143439466,12,13,1,2-2,Complementary,Belarus - Netherlands
Belarus,New Zealand,0.2222222222222222,0.29664468486449913,0.07442246264227692,12,21,0,2-3,Separate / weak,Belarus - New Zealand
Belarus,Norway,0.25,0.3733194786535304,0.12331947865353038,12,18,0,2-3,Separate / weak,Belarus - Norway
