period_idx,period_start,period_end,period_label,period_mid,actor_a,actor_b,collaboration_count,presence_jaccard,specialized_jaccard,presence_active_a,presence_active_b,specialized_active_a,specialized_active_b
0,1961,1970,1961-1970,1965.5,ACAP,WTO,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,ATS,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,Argentina,0,0.0,0.0,0,7,0,4
0,1961,1970,1961-1970,1965.5,ASOC,Australia,0,0.0,0.0,0,14,0,9
0,1961,1970,1961-1970,1965.5,ASOC,Austria,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,Belarus,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,Belgium,0,0.0,0.0,0,6,0,4
0,1961,1970,1961-1970,1965.5,ASOC,Brazil,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,Bulgaria,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,CCAMLR,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,COMNAP,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,Canada,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,Chile,0,0.0,0.0,0,9,0,6
0,1961,1970,1961-1970,1965.5,ASOC,China,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,Colombia,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,Czechia,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,Denmark,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,Ecuador,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,Estonia,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,Finland,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,France,0,0.0,0.0,0,6,0,5
0,1961,1970,1961-1970,1965.5,ASOC,Germany,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,Greece,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,IAATO,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,ICAO,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,IGP&I Clubs,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,IHO,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,IMO,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,IOC,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,IOPC Funds,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,IPCC,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,IPY-IPO,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,IUCN,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,Iceland,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,India,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,Italy,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,Japan,0,0.0,0.0,0,6,0,5
0,1961,1970,1961-1970,1965.5,ASOC,Kazakhstan,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,Korea (DPRK),0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,Korea (ROK),0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,Malaysia,0,,,0,0,0,0
