attribute,label,share_1_3,share_other,difference,p_value,stars
mixed_cp_ncp,Mixed CP/NCP,0.8,0.4444444444444444,0.3555555555555556,0.01974901254937253,*
both_cp,Both CP,0.2,0.3968253968253968,-0.1968253968253968,0.23348832558372082,
one_gateway,One gateway state,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.04684765761711914,*
same_community,Same Leiden community,0.4,0.3492063492063492,0.050793650793650835,0.767411629418529,
either_claimant,Includes claimant,0.6666666666666666,0.20634920634920634,0.4603174603174603,0.000999950002499875,***
either_reserving,Includes reserving non-claimant,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.051347432628368585,
