pair_key,pair_label,observed_mean_jaccard,null_mean_jaccard,null_q05,null_q95,gap_observed_minus_null,n_draws
1-1,R1-R1,0.1946859611966564,0.08242930952815206,0.06543392337184555,0.10350151878226745,0.11225665166850435,200
1-2,R1-R2,0.1518038249996773,0.11341184062944132,0.10567621935510116,0.1214085931487435,0.03839198437023597,200
1-3,R1-R3,0.10156509236909524,0.11902019877999087,0.10823670040598012,0.1300219299906869,-0.017455106410895635,200
2-2,R2-R2,0.19823625610430956,0.1866265952674236,0.17911444935137733,0.19583838456291,0.011609660836885971,200
2-3,R2-R3,0.18396750639073672,0.2078084355318305,0.20060451219819184,0.21458059180532338,-0.023840929141093786,200
3-3,R3-R3,0.20401261984294247,0.23642432614950112,0.21904219638296898,0.255739534322882,-0.03241170630655865,200
