bloc,metric,same_group_mean,other_pairs_mean,same_group_minus_other,same_group_count,other_pairs_count,perm_mean,perm_sd,perm_q05,perm_q95,p_two_sided,p_one_sided_high,p_one_sided_low
EU,rpa_jaccard,0.16964254706734716,0.17102454282496557,-0.0013819957576184094,153,882,9.942360205836218e-05,0.021815140283351953,-0.03379654527427153,0.03767190398195767,0.9458108378324335,0.5066986602679464,0.49350129974005197
EU,presence_jaccard,0.2808032839524771,0.33778426181287735,-0.05698097786040024,153,882,0.0012136599753774099,0.06208025395939835,-0.0942847764544058,0.11079745922663184,0.35812837432513495,0.8238352329534093,0.17636472705458908
NATO,rpa_jaccard,0.16488245229192316,0.1727412992878097,-0.007858846995886543,253,782,0.00020682675125217523,0.019599231006053378,-0.03060210002076378,0.033281945417522815,0.6908618276344731,0.6466706658668266,0.3535292941411718
NATO,presence_jaccard,0.312199123136398,0.3349133544887188,-0.022714231352320757,253,782,0.0005564945020803658,0.0551002298722105,-0.08383036971110294,0.09713330794128772,0.6834633073385323,0.6454709058188363,0.3547290541891622
BRICS,rpa_jaccard,0.31032375032375026,0.1694592380192061,0.14086451230454416,10,1025,0.0007945364750572186,0.049966638192134386,-0.07783394239116656,0.08605358947821573,0.004599080183963208,0.004599080183963208,0.9956008798240352
BRICS,presence_jaccard,0.5888445298575277,0.32682944006352344,0.26201508979400423,10,1025,-0.002535311045741822,0.1262164852692706,-0.18268960158428146,0.22713924431206187,0.029994001199760048,0.02979404119176165,0.9704059188162367
