time_unit,window_size,period_index,period_end,period_start,member,k_active,dominant_region,dominant_region_share,region_1_share,region_2_share,region_3_share
meeting,5,11,16,12,ASOC,6,3,0.8370763417496329,0.011666177832451175,0.15125748041791606,0.8370763417496329
meeting,5,12,17,13,ASOC,8,3,0.6948991207364481,0.003924679419441733,0.30117619984411015,0.6948991207364481
meeting,5,13,18,14,ASOC,9,3,0.6474787497805449,0.03905728970356703,0.31346396051588804,0.6474787497805449
meeting,5,14,19,15,ASOC,8,3,0.561424023205807,0.014410429620396225,0.4241655471737968,0.561424023205807
meeting,5,15,20,16,ASOC,9,3,0.6138295330932825,0.03081039545658927,0.3553600714501281,0.6138295330932825
meeting,5,16,21,17,ASOC,7,2,0.8732539139699809,0.12674608603001908,0.8732539139699809,0.0
meeting,5,17,22,18,ASOC,7,2,0.8291902380106225,0.17080976198937745,0.8291902380106225,0.0
meeting,5,18,23,19,ASOC,8,2,0.8215790991916725,0.171836601325483,0.8215790991916725,0.006584299482844696
meeting,5,19,24,20,ASOC,10,2,0.7450680167259788,0.23099017485638795,0.7450680167259788,0.023941808417633405
meeting,5,20,25,21,ASOC,9,2,0.8916181174506719,0.04153130458922247,0.8916181174506719,0.0668505779601057
meeting,5,21,26,22,ASOC,11,2,0.7454705521354669,0.03344198665668612,0.7454705521354669,0.22108746120784703
meeting,5,22,27,23,ASOC,13,2,0.8009842156834541,0.01702346173467947,0.8009842156834541,0.1819923225818664
meeting,5,23,28,24,ASOC,13,2,0.7274223836666006,0.01894332464908883,0.7274223836666006,0.2536342916843106
meeting,5,24,29,25,ASOC,13,2,0.672436477410836,0.029728193802732325,0.672436477410836,0.2978353287864317
meeting,5,25,30,26,ASOC,13,3,0.680520631548162,0.019450416486140765,0.3000289519656973,0.680520631548162
meeting,5,26,31,27,ASOC,15,3,0.6907638963442283,0.021554430010745754,0.287681673645026,0.6907638963442283
meeting,5,27,32,28,ASOC,14,3,0.6398443657651871,0.026879455500139007,0.33327617873467397,0.6398443657651871
meeting,5,28,33,29,ASOC,12,2,0.5506382688800862,0.06075138905111215,0.5506382688800862,0.38861034206880174
meeting,5,29,34,30,ASOC,14,2,0.6005936905839443,0.06957857281724376,0.6005936905839443,0.329827736598812
meeting,5,30,35,31,ASOC,13,2,0.7604201789163392,0.09341808439675918,0.7604201789163392,0.14616173668690163
meeting,5,31,36,32,ASOC,13,2,0.7063367107764525,0.11955194742165612,0.7063367107764525,0.17411134180189128
meeting,5,32,37,33,ASOC,13,2,0.6589463150921872,0.13697654915597007,0.6589463150921872,0.20407713575184278
meeting,5,33,38,34,ASOC,11,2,0.55754934725744,0.13877802862529148,0.55754934725744,0.3036726241172686
meeting,5,34,39,35,ASOC,10,2,0.5364970903266459,0.12957532021244195,0.5364970903266459,0.3339275894609121
meeting,5,35,40,36,ASOC,11,2,0.5100782531082266,0.10308360686549277,0.5100782531082266,0.38683814002628064
meeting,5,36,41,37,ASOC,9,3,0.5494021560937369,0.08070997382354117,0.36988787008272195,0.5494021560937369
meeting,5,37,42,38,ASOC,9,2,0.6003185226261417,0.14479495767565698,0.6003185226261417,0.2548865196982013
meeting,5,38,43,39,ASOC,9,2,0.5428492591659483,0.18292859654931015,0.5428492591659483,0.2742221442847416
meeting,5,39,44,40,ASOC,9,2,0.4321003632787016,0.22282175061447712,0.4321003632787016,0.34507788610682116
meeting,5,40,45,41,ASOC,8,2,0.5521333568598388,0.18357336431848112,0.5521333568598388,0.26429327882168
meeting,5,41,46,42,ASOC,8,2,0.648073759349991,0.2180938856164192,0.648073759349991,0.13383235503358973
meeting,5,42,47,43,ASOC,8,2,0.7192013723292121,0.20467814364956846,0.7192013723292121,0.07612048402121946
meeting,5,23,28,24,ATS,8,2,0.60523154729888,0.3947684527011201,0.60523154729888,0.0
meeting,5,24,29,25,ATS,9,2,0.6155648737075836,0.3844351262924164,0.6155648737075836,0.0
meeting,5,25,30,26,ATS,9,2,0.5293780763013641,0.47062192369863587,0.5293780763013641,0.0
meeting,5,26,31,27,ATS,9,1,0.5313919521300989,0.5313919521300989,0.4686080478699011,0.0
meeting,5,27,32,28,ATS,10,1,0.614401876610059,0.614401876610059,0.38559812338994104,0.0
meeting,5,0,5,1,Argentina,4,1,1.0,1.0,0.0,0.0
meeting,5,1,6,2,Argentina,4,1,0.8478260869565217,0.8478260869565217,0.0,0.15217391304347827
meeting,5,2,7,3,Argentina,5,1,0.5481439084822994,0.5481439084822994,0.0,0.4518560915177006
meeting,5,3,8,4,Argentina,7,1,0.5045963334437106,0.5045963334437106,0.007719375658517047,0.48768429089777254
meeting,5,4,9,5,Argentina,6,2,0.7051814161614935,0.1580673627137861,0.7051814161614935,0.13675122112472027
