model,window_end,mean_active_topics_mean,mean_active_topics_q05,mean_active_topics_q25,mean_active_topics_q75,mean_active_topics_q95,mean_topic_popularity_mean,mean_topic_popularity_q05,mean_topic_popularity_q25,mean_topic_popularity_q75,mean_topic_popularity_q95,mean_active_topics_obs,mean_topic_popularity_obs
one_stage,1961,3.9283854166666665,3.5958333333333337,3.8333333333333335,4.0,4.2375,1.0475694444444443,0.9588888888888889,1.0222222222222221,1.0666666666666667,1.13,2.5833333333333335,0.6888888888888889
one_stage,1962,2.819444444444444,2.35,2.6666666666666665,3.0,3.111111111111111,0.5638888888888889,0.47000000000000003,0.5333333333333333,0.6,0.6222222222222222,1.5555555555555556,0.3111111111111111
one_stage,1964,6.83984375,6.345833333333333,6.666666666666667,7.020833333333333,7.320833333333333,1.8239583333333333,1.6922222222222223,1.7777777777777777,1.8722222222222222,1.952222222222222,2.5,0.6666666666666666
one_stage,1966,8.23046875,7.666666666666667,8.0625,8.416666666666666,8.75,2.1947916666666667,2.0444444444444443,2.15,2.2444444444444445,2.3333333333333335,3.3333333333333335,0.8888888888888888
one_stage,1968,4.205729166666667,3.8333333333333335,4.0,4.333333333333333,4.654166666666667,1.1215277777777777,1.0222222222222221,1.0666666666666667,1.1555555555555554,1.241111111111111,2.0,0.5333333333333333
one_stage,1970,6.732638888888889,6.222222222222222,6.444444444444445,6.888888888888889,7.222222222222222,1.3465277777777778,1.2444444444444445,1.288888888888889,1.3777777777777778,1.4444444444444444,3.3333333333333335,0.6666666666666666
one_stage,1972,6.899038461538462,6.461538461538462,6.6923076923076925,7.096153846153846,7.373076923076923,1.9930555555555556,1.8666666666666667,1.9333333333333333,2.05,2.13,3.4615384615384617,1.0
one_stage,1975,5.101041666666667,4.8,5.0,5.2,5.39,1.7003472222222222,1.6,1.6666666666666667,1.7333333333333334,1.7966666666666666,3.0,1.0
one_stage,1977,5.927455357142857,5.439285714285715,5.767857142857142,6.071428571428571,6.357142857142857,1.8440972222222223,1.6922222222222223,1.7944444444444445,1.8888888888888888,1.9777777777777779,3.2142857142857144,1.0
one_stage,1979,6.743055555555555,6.333333333333333,6.555555555555555,6.888888888888889,7.222222222222222,1.3486111111111112,1.2666666666666666,1.3111111111111111,1.3777777777777778,1.4444444444444444,2.888888888888889,0.5777777777777777
one_stage,1981,2.8474264705882355,2.7058823529411766,2.764705882352941,2.9411764705882355,3.0,1.0756944444444445,1.0222222222222221,1.0444444444444445,1.1111111111111112,1.1333333333333333,2.0588235294117645,0.7777777777777778
one_stage,1983,3.9046875,3.515,3.775,4.1,4.3,0.8677083333333333,0.7811111111111111,0.8388888888888889,0.9111111111111111,0.9555555555555556,2.4,0.5333333333333333
