k,weighted_inertia,absolute_gain,relative_gain,elbow_score
1,80.32694042354213,,,
2,28.080088752307265,52.246851671234865,0.6504275078292714,
3,11.67368904998885,16.406399702318417,0.5842716469680085,35.84045196891645
4,6.609570904767582,5.064118145221268,0.43380615361055075,11.342281557097149
5,4.525848052872366,2.0837228518952164,0.3152584157002077,2.980395293326051
6,3.2208019403848147,1.3050461124875512,0.28835393880695864,0.7786767394076652
7,2.2619980020176778,0.958803938367137,0.297691058349456,0.34624217412041425
