specification,term,outcomes,papers,coefficient,se,odds_ratio,ci_low,ci_high,outcome_bootstrap_ci_low,outcome_bootstrap_ci_high,p_value,scale
adoption_linked_papers,same_concern_mass,89,15191,0.6532757430925015,0.07060039480885746,1.921825937232668,1.673469421414453,2.2070405863158635,,,2.17980897737751e-20,one SD within the pooled candidate set
adoption_linked_papers,related_concern_proximity,89,15191,0.28601824853745833,0.12780182652396918,1.3311167459644562,1.0361652807856967,1.7100281434284683,,,0.02522219773023124,one SD within the pooled candidate set
discussion_only_papers,same_concern_mass,79,14881,-0.0005700107286663056,0.1095121847446047,0.9994301516965862,0.8063689451960917,1.2387141569264672,,,0.9958470310187194,one SD within the pooled candidate set
discussion_only_papers,related_concern_proximity,79,14881,0.05762119599938775,0.10663815161821982,1.059313647451366,0.8595127834273127,1.3055598768434307,,,0.5889603977235247,one SD within the pooled candidate set
adoption_linked_papers_title_overlap_controlled,same_concern_mass,89,15189,0.5013570933125436,0.07695082419358054,1.650960258224713,1.4198247917275606,1.9197226236069407,,,7.254836401153802e-11,one SD within the pooled candidate set
adoption_linked_papers_title_overlap_controlled,related_concern_proximity,89,15189,0.23134636938091774,0.1277620219969161,1.2602956916965269,0.9811134353536389,1.618921088300369,,,0.07017799796676528,one SD within the pooled candidate set
adoption_linked_papers_title_overlap_controlled,title_overlap,89,15189,0.21266923681259609,0.03044425798012668,1.2369754376324407,1.16532322066858,1.3130333337287317,,,2.8378530963577956e-12,one SD within the pooled candidate set
