term,coefficient,se_two_way_clustered,odds_ratio,ci_low,ci_high,p_value,predictor_sd,scale,n_actor_output_pairs,n_eligible_papers,n_linked_actor_papers,n_actors,n_outputs,fixed_effects,clustered_by
same_concern_match,0.5391418873412694,0.1749164356642155,1.7145349665903902,1.2168988221372492,2.415673430021252,0.002054197127387179,0.12367178347408324,one sample SD,3494,21211,178,66,89,actor and output,actor and output
nearby_concern_match,0.608748472514593,0.21326128789111445,1.8381294890531639,1.210164557442342,2.791950894403734,0.004310836944954603,0.1056392419089708,one sample SD,3494,21211,178,66,89,actor and output,actor and output
prior_portfolio_proximity,0.03718129446351519,0.13613711758848096,1.0378811658919764,0.7948137599308301,1.355282669750248,0.7847636557339285,0.3025518806840702,one sample SD,3494,21211,178,66,89,actor and output,actor and output
log_prior_concerns,0.02859790477747974,0.21347911568235248,1.0290107509715711,0.6771779688504307,1.5636408364149685,0.8934333066132365,0.6776505820712128,one sample SD,3494,21211,178,66,89,actor and output,actor and output
working_paper_share,0.705619491371446,0.1405375831027487,2.0251008289063663,1.537512465780001,2.667317149299822,5.144071594471728e-07,0.3096041026169486,one sample SD,3494,21211,178,66,89,actor and output,actor and output
