term,coefficient,se_two_way_clustered,odds_ratio,ci_low,ci_high,p_value,predictor_sd,scale,n_actor_output_pairs,n_eligible_papers,n_linked_actor_papers,n_actors,n_outputs,fixed_effects,clustered_by
same_concern_match,0.4767615301432958,0.16715280613754607,1.6108492592557877,1.160837851433141,2.235312479552077,0.004341099432646985,0.1035355571280979,one sample SD,3494,21211,178,66,89,actor and output,actor and output
nearby_concern_match,0.48511890703929333,0.18203585400456032,1.6243681461682913,1.1369265731168017,2.3207935645771376,0.007699667876020366,0.08053076487179506,one sample SD,3494,21211,178,66,89,actor and output,actor and output
prior_portfolio_proximity,0.04736395955828265,0.1601005570293613,1.048503552532088,0.7661072299037529,1.4349945500586425,0.7673531766458765,0.26565851514134775,one sample SD,3494,21211,178,66,89,actor and output,actor and output
log_prior_concerns,0.007700210677772508,0.22423424999132038,1.0077299335418055,0.6493399332834378,1.563926022262512,0.9726060050462422,0.6776505820712128,one sample SD,3494,21211,178,66,89,actor and output,actor and output
working_paper_share,0.6866687575509566,0.14454414321899678,1.9870850334602441,1.496849007327472,2.637879245583698,2.0283235153508283e-06,0.3096041026169486,one sample SD,3494,21211,178,66,89,actor and output,actor and output
