specification,term,coefficient,standard_error,odds_ratio,ci_low,ci_high,p_value,n_outputs,n_rows,scale
exact_symmetric,same_concern_mass,0.4054344675217313,0.07904229396778079,1.4999540398244773,1.284682455343763,1.7512982388972833,2.9076627796693803e-07,89,15189,one sample SD
exact_symmetric,title_overlap,0.1652798620609142,0.031694138810501704,1.1797232322912,1.1086680612479296,1.255332369944012,1.8397598830743465e-07,89,15189,one sample SD
exact_symmetric,working_paper,0.7777556961685868,0.102813042177057,2.1765818687553984,1.7793393318094377,2.6625099252861992,3.8858988409688585e-14,89,15189,one sample SD
exact_symmetric,related_concern_proximity,0.1349445117143029,0.1287043520345938,1.1444732777291866,0.8893041124022035,1.4728584577193535,0.2944154630984336,89,15189,one sample SD
exact_directed_rate,same_concern_mass,0.3472470825544443,0.055252928996603994,1.415166345091692,1.2699167431174012,1.577029199066976,3.2852568009918396e-10,89,15189,one sample SD
exact_directed_rate,title_overlap,0.16866166070938754,0.03157971782048609,1.1837195723236968,1.1126732060612108,1.2593023884005639,9.25259268505312e-08,89,15189,one sample SD
exact_directed_rate,working_paper,0.7857849152541881,0.10310500870617097,2.1941284699232613,1.7926573968319695,2.6855102101693102,2.5130885875906545e-14,89,15189,one sample SD
exact_directed_rate,directed_rate_rank_10,0.011185626953308107,0.1132739131629268,1.011248419986559,0.8099107335795803,1.2626371333611062,0.921337974032657,89,15189,one sample SD
exact_symmetric_directed_rate,same_concern_mass,0.4140738275258047,0.08238552419340621,1.5129688215059864,1.287365909417499,1.778107248377396,5.006833820477218e-07,89,15189,one sample SD
exact_symmetric_directed_rate,title_overlap,0.16493002872923,0.03167092719090352,1.1793105979632115,1.108330702147971,1.2548361998571325,1.912822081712684e-07,89,15189,one sample SD
exact_symmetric_directed_rate,working_paper,0.7810940838514489,0.1031831314780328,2.1838602851849456,1.7839948478095293,2.673351748220557,3.7328608764881403e-14,89,15189,one sample SD
exact_symmetric_directed_rate,related_concern_proximity,0.15804315002772948,0.1423003916986881,1.1712167316517743,0.8861530348733639,1.5479816448375585,0.2667274444109453,89,15189,one sample SD
exact_symmetric_directed_rate,directed_rate_rank_10,-0.04841428787231446,0.1260847404987409,0.9527389970928234,0.7441293667308446,1.2198303644018968,0.7009916884789475,89,15189,one sample SD
exact_directed_ridge,same_concern_mass,0.3458349892611654,0.05527634207678827,1.4131694084491595,1.268066575267172,1.5748761271116893,3.937790713796176e-10,89,15189,one sample SD
exact_directed_ridge,title_overlap,0.16924403759226128,0.03159403114287054,1.1844091440142395,1.1132901571352292,1.2600713402823562,8.469201420954182e-08,89,15189,one sample SD
exact_directed_ridge,working_paper,0.7883529451261142,0.10249595864935578,2.1997702984684357,1.799413657808221,2.689203421918032,1.453613920973104e-14,89,15189,one sample SD
exact_directed_ridge,directed_ridge_rank,-0.06436017093721015,0.11046336004487205,0.937667218224097,0.7551277365009903,1.164332562072382,0.5601368982300896,89,15189,one sample SD
exact_symmetric_directed_ridge,same_concern_mass,0.41833578667759563,0.08048943766485218,1.5194307933698123,1.2976779679576835,1.7790777009752714,2.0209541657554564e-07,89,15189,one sample SD
exact_symmetric_directed_ridge,title_overlap,0.16544953308313007,0.03167115037807629,1.1799234141200021,1.1089061492723733,1.2554888112958245,1.7511540384657962e-07,89,15189,one sample SD
exact_symmetric_directed_ridge,working_paper,0.7796562466887503,0.10281528928323422,2.180722506057065,1.782716420022478,2.6675867204745014,3.374546535606315e-14,89,15189,one sample SD
exact_symmetric_directed_ridge,related_concern_proximity,0.1707602857533102,0.13418770104191652,1.1862063643724934,0.9118793327079778,1.5430611139077286,0.20317849367488738,89,15189,one sample SD
exact_symmetric_directed_ridge,directed_ridge_rank,-0.10589057662818288,0.11522875195620619,0.8995230715384274,0.7176746613912213,1.1274492465170711,0.35811666390110686,89,15189,one sample SD
