query_from,query_to,query_cat,query_topic,query_status,query_doc_type,result_page,result_index,arec_id,aatm_id,irec_no,instrument_no,year_meeting,meeting_no,meeting_city,subject,detail_url,title,legal_status,adoption_date,entry_into_force,approval_count,approval_countries,approval_dates,approval_text,characteristic_count,characteristic_links,characteristics_json,approvals_json,content,parse_error
01/01/1958,01/01/2158,0,0,0,3,9,5,272,54,S-D1,1,2000,SATCM XII - CEP III,The Hague,List of CEP observers,https://www.ats.aq/devAS/Meetings/Measure/272?s=1&iframe=1&from=01/01/1958&to=01/01/2158&cat=0&top=0&type=3&stat=0&txt=&curr=0,"Decision 1 (2000) - SATCM XII - CEP III, The Hague",Adopted 15/09/2000. Replaced: D 1 (2016),,,0,,,,6,,"[{""Title"":""Subject"",""Text"":""List of CEP observers"",""Url"":null},{""Title"":""Status"",""Text"":""Adopted 15/09/2000. Replaced: D 1 (2016)"",""Url"":null},{""Title"":""Category"",""Text"":""Institutional \u0026 legal matters"",""Url"":null},{""Title"":""Topics"",""Text"":""- CEP (Committee for Environmental Protection)\n                                - Observers\n                                - Rules of Procedure"",""Url"":null},{""Title"":""Attachments"",""Text"":"""",""Url"":null},{""Title"":""Relevant Final Report paragraph"",""Text"":""13"",""Url"":null}]",null,,
01/01/1958,01/01/2158,0,0,0,3,9,6,262,53,D1,1,1999,ATCM XXIII -  CEP II,Lima,CEP web site,https://www.ats.aq/devAS/Meetings/Measure/262?s=1&iframe=1&from=01/01/1958&to=01/01/2158&cat=0&top=0&type=3&stat=0&txt=&curr=0,"Decision 1 (1999) - ATCM XXIII -  CEP II, Lima",Adopted 04/06/1999,,,0,,,,6,,"[{""Title"":""Subject"",""Text"":""CEP web site"",""Url"":null},{""Title"":""Status"",""Text"":""Adopted 04/06/1999"",""Url"":null},{""Title"":""Category"",""Text"":""Institutional \u0026 legal matters"",""Url"":null},{""Title"":""Topics"",""Text"":""- ATCM Home Page\n                                - CEP (Committee for Environmental Protection)\n                                - Secretariat"",""Url"":null},{""Title"":""Attachments"",""Text"":"""",""Url"":null},{""Title"":""Relevant Final Report paragraph"",""Text"":""58"",""Url"":null}]",null,,
01/01/1958,01/01/2158,0,0,0,3,9,7,263,53,D2,2,1999,ATCM XXIII -  CEP II,Lima,Expert meeting to develop draft guidelines for Antarctic shipping,https://www.ats.aq/devAS/Meetings/Measure/263?s=1&iframe=1&from=01/01/1958&to=01/01/2158&cat=0&top=0&type=3&stat=0&txt=&curr=0,"Decision 2 (1999) - ATCM XXIII -  CEP II, Lima",Adopted 04/06/1999. No longer current: D 1 (2012),,,0,,,,6,,"[{""Title"":""Subject"",""Text"":""Expert meeting to develop draft guidelines for Antarctic shipping"",""Url"":null},{""Title"":""Status"",""Text"":""Adopted 04/06/1999. No longer current: D 1 (2012)"",""Url"":null},{""Title"":""Category"",""Text"":""Operational matters\n                                \nMarine pollution"",""Url"":null},{""Title"":""Topics"",""Text"":""- Guidelines\n                                - IMO (International Maritime Organisation)\n                                - Meeting of Experts\n                                - Polar Shipping Code"",""Url"":null},{""Title"":""Attachments"",""Text"":"""",""Url"":null},{""Title"":""Relevant Final Report paragraph"",""Text"":""105"",""Url"":null}]",null,,
01/01/1958,01/01/2158,0,0,0,3,9,8,251,52,D1,1,1998,ATCM XXII - CEP I,Tromsø,Recognition of Bulgaria as a Consultative Party,https://www.ats.aq/devAS/Meetings/Measure/251?s=1&iframe=1&from=01/01/1958&to=01/01/2158&cat=0&top=0&type=3&stat=0&txt=&curr=0,"Decision 1 (1998) - ATCM XXII - CEP I, Tromsø",Adopted 05/06/1998,,,0,,,,6,,"[{""Title"":""Subject"",""Text"":""Recognition of Bulgaria as a Consultative Party"",""Url"":null},{""Title"":""Status"",""Text"":""Adopted 05/06/1998"",""Url"":null},{""Title"":""Category"",""Text"":""General matters"",""Url"":null},{""Title"":""Topics"",""Text"":""- Bulgaria\n                                - Consultative Party Status"",""Url"":null},{""Title"":""Attachments"",""Text"":"""",""Url"":null},{""Title"":""Relevant Final Report paragraph"",""Text"":""146"",""Url"":null}]",null,,
01/01/1958,01/01/2158,0,0,0,3,9,9,252,52,D2,2,1998,ATCM XXII - CEP I,Tromsø,Rules of Procedure for the Committee for Environmental Protection,https://www.ats.aq/devAS/Meetings/Measure/252?s=1&iframe=1&from=01/01/1958&to=01/01/2158&cat=0&top=0&type=3&stat=0&txt=&curr=0,"Decision 2 (1998) - ATCM XXII - CEP I, Tromsø",Adopted 05/06/1998. No longer current: D 3 (2010),,,0,,,,6,https://documents.ats.aq/recatt/att300_e.pdf,"[{""Title"":""Subject"",""Text"":""Rules of Procedure for the Committee for Environmental Protection"",""Url"":null},{""Title"":""Status"",""Text"":""Adopted 05/06/1998. No longer current: D 3 (2010)"",""Url"":null},{""Title"":""Category"",""Text"":""Institutional \u0026 legal matters"",""Url"":null},{""Title"":""Topics"",""Text"":""- CEP (Committee for Environmental Protection)\n                                - Rules of Procedure"",""Url"":null},{""Title"":""Attachments"",""Text"":""Circulation and Handling of CEP Documents\n                                \n                                    Rules of Procedure"",""Url"":""https://documents.ats.aq/recatt/att300_e.pdf""},{""Title"":""Relevant Final Report paragraph"",""Text"":""8"",""Url"":null}]",null,,
01/01/1958,01/01/2158,0,0,0,3,9,10,253,52,D3,3,1998,ATCM XXII - CEP I,Tromsø,Liability Annex to the Environmental Protocol,https://www.ats.aq/devAS/Meetings/Measure/253?s=1&iframe=1&from=01/01/1958&to=01/01/2158&cat=0&top=0&type=3&stat=0&txt=&curr=0,"Decision 3 (1998) - ATCM XXII - CEP I, Tromsø",Adopted 05/06/1998. No longer current: D 1 (2011),,,0,,,,6,,"[{""Title"":""Subject"",""Text"":""Liability Annex to the Environmental Protocol"",""Url"":null},{""Title"":""Status"",""Text"":""Adopted 05/06/1998. No longer current: D 1 (2011)"",""Url"":null},{""Title"":""Category"",""Text"":""Environmental protection"",""Url"":null},{""Title"":""Topics"",""Text"":""- Annex VI (Liability)\n                                - Emergency response\n                                - Liability"",""Url"":null},{""Title"":""Attachments"",""Text"":"""",""Url"":null},{""Title"":""Relevant Final Report paragraph"",""Text"":""68"",""Url"":null}]",null,,
01/01/1958,01/01/2158,0,0,0,3,9,11,254,52,D4,4,1998,ATCM XXII - CEP I,Tromsø,"Marine protected areas: CCAMLR approval of SSSI 1 (Cape Royds), 20 (Biscoe Point), 26 (Chile Bay), 27 (Port Foster), 28 (South Bay), 32 (Cape Shirreff), 34 (Lions Rump), 35 (Bransfield Strait) and 36 (Dallmann Bay)",https://www.ats.aq/devAS/Meetings/Measure/254?s=1&iframe=1&from=01/01/1958&to=01/01/2158&cat=0&top=0&type=3&stat=0&txt=&curr=0,"Decision 4 (1998) - ATCM XXII - CEP I, Tromsø",Adopted 05/06/1998. No longer current: D 9 (2005),,,0,,,,6,https://documents.ats.aq/recatt/att227_e.pdf,"[{""Title"":""Subject"",""Text"":""Marine protected areas: CCAMLR approval of SSSI 1 (Cape Royds), 20 (Biscoe Point), 26 (Chile Bay), 27 (Port Foster), 28 (South Bay), 32 (Cape Shirreff), 34 (Lions Rump), 35 (Bransfield Strait) and 36 (Dallmann Bay)"",""Url"":null},{""Title"":""Status"",""Text"":""Adopted 05/06/1998. No longer current: D 9 (2005)"",""Url"":null},{""Title"":""Category"",""Text"":""Area protection and management"",""Url"":null},{""Title"":""Topics"",""Text"":""- Biscoe Point (ASPA 139)\n                                - Bransfield Strait (ASPA 152)\n                                - Cape Royds (ASPA 121)\n                                - Cape Shirreff (ASPA 149)\n                                - CCAMLR (Convention on the Conservation of Antarctic Marine Living Resources)\n                                - Chile Bay (ASPA 144)\n                                - Dallmann Bay (ASPA 153)\n                                - Lions Rump (ASPA 151)\n                                - Marine Protected Areas\n                                - Port Foster (ASPA 145)\n                                - South Bay (ASPA 146)\n                                - SSSIs (Sites of Special Scientific Interest)"",""Url"":null},{""Title"":""Attachments"",""Text"":""List of SSSIs"",""Url"":""https://documents.ats.aq/recatt/att227_e.pdf""},{""Title"":""Relevant Final Report paragraph"",""Text"":""53"",""Url"":null}]",null,,
01/01/1958,01/01/2158,0,0,0,3,9,12,244,51,D1,1,1997,ATCM XXI,Christchurch,Revised Rules of Procedure for the ATCM,https://www.ats.aq/devAS/Meetings/Measure/244?s=1&iframe=1&from=01/01/1958&to=01/01/2158&cat=0&top=0&type=3&stat=0&txt=&curr=0,"Decision 1 (1997) - ATCM XXI, Christchurch",Adopted 30/05/1997. Replaced: D 1 (2004),,,0,,,,6,https://documents.ats.aq/recatt/att236_e.pdf,"[{""Title"":""Subject"",""Text"":""Revised Rules of Procedure for the ATCM"",""Url"":null},{""Title"":""Status"",""Text"":""Adopted 30/05/1997. Replaced: D 1 (2004)"",""Url"":null},{""Title"":""Category"",""Text"":""Institutional \u0026 legal matters"",""Url"":null},{""Title"":""Topics"",""Text"":""- Rules of Procedure"",""Url"":null},{""Title"":""Attachments"",""Text"":""Revised Rules of Procedure"",""Url"":""https://documents.ats.aq/recatt/att236_e.pdf""},{""Title"":""Relevant Final Report paragraph"",""Text"":""81"",""Url"":null}]",null,,
01/01/1958,01/01/2158,0,0,0,3,9,13,245,51,D2,2,1997,ATCM XXI,Christchurch,Revised procedures for the recognition of new Consultative Parties,https://www.ats.aq/devAS/Meetings/Measure/245?s=1&iframe=1&from=01/01/1958&to=01/01/2158&cat=0&top=0&type=3&stat=0&txt=&curr=0,"Decision 2 (1997) - ATCM XXI, Christchurch",Adopted 30/05/1997. Replaced: D 4 (2005),,,0,,,,6,,"[{""Title"":""Subject"",""Text"":""Revised procedures for the recognition of new Consultative Parties"",""Url"":null},{""Title"":""Status"",""Text"":""Adopted 30/05/1997. Replaced: D 4 (2005)"",""Url"":null},{""Title"":""Category"",""Text"":""Institutional \u0026 legal matters"",""Url"":null},{""Title"":""Topics"",""Text"":""- Consultative Party Status"",""Url"":null},{""Title"":""Attachments"",""Text"":"""",""Url"":null},{""Title"":""Relevant Final Report paragraph"",""Text"":""160"",""Url"":null}]",null,,
01/01/1958,01/01/2158,0,0,0,3,9,14,221,49,D1,1,1995,ATCM XIX,Seoul,"Recommendations divided into Measures, Decisions and Resolutions.",https://www.ats.aq/devAS/Meetings/Measure/221?s=1&iframe=1&from=01/01/1958&to=01/01/2158&cat=0&top=0&type=3&stat=0&txt=&curr=0,"Decision 1 (1995) - ATCM XIX, Seoul",Adopted 19/05/1995,,,0,,,,6,,"[{""Title"":""Subject"",""Text"":""Recommendations divided into Measures, Decisions and Resolutions."",""Url"":null},{""Title"":""Status"",""Text"":""Adopted 19/05/1995"",""Url"":null},{""Title"":""Category"",""Text"":""Institutional \u0026 legal matters"",""Url"":null},{""Title"":""Topics"",""Text"":""- Decisions\n                                - Final Report\n                                - Measures\n                                - Recommendations\n                                - Resolutions"",""Url"":null},{""Title"":""Attachments"",""Text"":"""",""Url"":null},{""Title"":""Relevant Final Report paragraph"",""Text"":""69"",""Url"":null}]",null,,
